count,timestamp,S,D,F,J,K,L,char,dummy,matched,pre-delta,post-delta,elapsed,dS,dD,dF,dJ,dK,dL,Hamming D.,Pressed Keys
89,1391409509324 ,1,0,1,1,0,0,Ç ,0,0,24 ,8 ,928 ,0,1,1,0,0,0,2,3
90,1391409509332 ,1,1,1,1,0,0,ÇÀ,0,1,8 ,144 ,936 ,0,0,1,0,0,0,1,4
91,1391409509476 ,1,0,1,1,0,0,Ç ,0,0,144 ,8 ,144 ,0,1,0,0,0,0,1,3
92,1391409509484 ,1,0,1,0,0,0,Ç»,0,0,8 ,16 ,152 ,0,1,0,1,0,0,2,2
93,1391409509500 ,0,0,1,0,0,0,Ç†,0,0,16 ,8 ,168 ,1,1,0,1,0,0,3,1
94,1391409509508 ,0,0,0,0,0,0,,0,0,8 ,1264 ,176 ,1,1,1,1,0,0,4,0
95,1391409510772 ,0,1,0,0,0,0,Ç¡,0,0,1264 ,24 ,1440 ,1,0,1,1,0,0,3,1
96,1391409510796 ,0,1,0,0,0,1,,0,0,24 ,24 ,1464 ,1,0,1,1,0,1,4,2
97,1391409510820 ,0,1,0,1,0,1,Ç±,0,1,24 ,168 ,1488 ,1,0,1,0,0,1,3,3
98,1391409510988 ,0,1,0,0,0,1,,0,0,168 ,8 ,168 ,0,0,0,1,0,0,1,2
99,1391409510996 ,0,0,0,0,0,1,,0,0,8 ,40 ,176 ,0,1,0,1,0,0,2,1
100,1391409511036 ,0,0,0,0,0,0,,0,0,40 ,744 ,216 ,0,1,0,1,0,1,3,0
101,1391409511780 ,0,0,0,0,0,1,,0,0,744 ,2 ,960 ,0,1,0,1,0,0,2,1
102,1391409511782 ,0,0,1,0,0,1,Ç©,0,0,2 ,6 ,962 ,0,1,1,1,0,0,3,2
103,1391409511788 ,1,0,1,0,0,1,ÇÕ,0,1,6 ,176 ,968 ,1,1,1,1,0,0,4,3
104,1391409511964 ,1,0,1,0,0,0,Ç»,0,0,176 ,1 ,176 ,0,0,0,0,0,1,1,2
105,1391409511965 ,1,0,0,0,0,0,ÇÌ,0,0,1 ,7 ,177 ,0,0,1,0,0,1,2,1
106,1391409511972 ,0,0,0,0,0,0,,0,0,7 ,496 ,184 ,1,0,1,0,0,1,3,0
107,1391409512468 ,0,1,0,0,0,0,Ç¡,0,0,496 ,8 ,680 ,1,1,1,0,0,1,4,1
108,1391409512476 ,0,1,1,0,0,0,Ç¢,0,1,8 ,160 ,688 ,1,1,0,0,0,1,3,2
109,1391409512636 ,0,1,0,0,0,0,Ç¡,0,0,160 ,8 ,160 ,0,0,1,0,0,0,1,1
110,1391409512644 ,0,0,0,0,0,0,,0,0,8 ,856 ,168 ,0,1,1,0,0,0,2,0
111,1391409513500 ,0,0,1,0,0,0,Ç†,0,0,856 ,8 ,1024 ,0,1,0,0,0,0,1,1
112,1391409513508 ,1,0,1,0,0,0,Ç»,0,0,8 ,8 ,1032 ,1,1,0,0,0,0,2,2
113,1391409513516 ,1,0,1,0,1,0,ÇΩ,0,0,8 ,1 ,1040 ,1,1,0,0,1,0,3,3
114,1391409513517 ,1,0,1,1,1,0,Ç¬,0,1,1 ,183 ,1041 ,1,1,0,1,1,0,4,4
115,1391409513700 ,1,0,0,1,1,0,ÇÊ,0,0,183 ,0 ,183 ,0,0,1,0,0,0,1,3
116,1391409513700 ,1,0,0,0,1,0,Ç,0,0,0 ,8 ,183 ,0,0,1,1,0,0,2,2
117,1391409513708 ,1,0,0,0,0,0,ÇÌ,0,0,8 ,32 ,191 ,0,0,1,1,1,0,3,1
118,1391409513740 ,0,0,0,0,0,0,,0,0,32 ,560 ,223 ,1,0,1,1,1,0,4,0
119,1391409514300 ,0,1,0,0,0,0,Ç¡,0,0,560 ,8 ,783 ,1,1,1,1,1,0,5,1
120,1391409514308 ,1,1,0,0,0,0,,0,0,8 ,424 ,791 ,0,1,1,1,1,0,4,2
121,1391409514732 ,1,1,0,0,1,0,,0,0,424 ,72 ,1215 ,0,1,1,1,0,0,3,3
122,1391409514804 ,1,1,0,0,1,1,,0,0,72 ,160 ,1287 ,0,1,1,1,0,1,4,4
123,1391409514964 ,1,1,0,0,1,0,,0,0,160 ,24 ,1447 ,0,1,1,1,0,0,3,3
124,1391409514988 ,1,1,0,0,0,0,,0,0,24 ,72 ,1471 ,0,1,1,1,1,0,4,2
125,1391409515060 ,1,1,0,0,0,1,,0,0,72 ,8 ,1543 ,0,1,1,1,1,1,5,3
126,1391409515068 ,1,1,0,0,1,1,,0,0,8 ,64 ,1551 ,0,1,1,1,0,1,4,4
127,1391409515132 ,1,1,0,1,1,1,Ç‡,0,1,64 ,216 ,1615 ,0,1,1,0,0,1,3,5
128,1391409515348 ,1,1,0,0,1,1,,0,0,216 ,8 ,216 ,0,0,0,1,0,0,1,4
129,1391409515356 ,1,1,0,0,1,0,,0,0,8 ,8 ,224 ,0,0,0,1,0,1,2,3
